,zipcode,type,commoncity,county,areacode
448,72460,Standard,"Ravenden Springs, Ravenden Spgs",Randolph County,Area Code 870
449,72461,Standard,Rector,Clay County,Area Code 870
450,72462,PO Box,Reyno,Randolph County,Area Code 870
451,72464,PO Box,Saint Francis,Clay County,Area Code 870
452,72465,PO Box,Sedgwick,Lawrence County,Area Code 870
453,72466,Standard,Smithville,Lawrence County,Area Code 870
454,72467,PO Box,"State University, State Univ",Craighead County,Area Code 870
455,72469,Standard,"Strawberry, Calamine",Lawrence County,Area Code 870
456,72470,Standard,Success,Clay County,Area Code 870
457,72471,Standard,Swifton,Jackson County,Area Code 870
458,72472,Standard,Trumann,Poinsett County,Area Code 870
459,72473,Standard,Tuckerman,Jackson County,Area Code 870
460,72474,PO Box,Walcott,Greene County,Area Code 870
461,72475,PO Box,Waldenburg,Poinsett County,Area Code 870
462,72476,Standard,"Walnut Ridge, Williams Baptist College, Wms College",Lawrence County,Area Code 870
463,72478,Standard,Warm Springs,Randolph County,Area Code 870
464,72479,Standard,Weiner,Poinsett County,Area Code 870
465,72482,Standard,Williford,Sharp County,Area Code 870
466,72501,Standard,"Batesville, Southside",Independence County,Area Code 870
467,72503,PO Box,Batesville,Independence County,
468,72512,Standard,"Horseshoe Bend, Franklin, Horseshoe Bnd",Izard County,Area Code 870
469,72513,Standard,Ash Flat,Sharp County,Area Code 870
470,72515,Standard,Bexar,Fulton County,Area Code 870
471,72517,Standard,Brockwell,Izard County,Area Code 870
472,72519,Standard,"Calico Rock, Jordan",Izard County,Area Code 870
473,72520,Standard,Camp,Fulton County,Area Code 870
