,zipcode,type,commoncity,county,areacode
2369,95696,PO Box,Vacaville,Solano County,Area Code 707
2370,95697,PO Box,Yolo,Yolo County,
2371,95698,PO Box,Zamora,Yolo County,
2372,95699,PO Box,"Drytown, Sutter Creek",Amador County,Area Code 209
2373,95701,PO Box,Alta,Placer County,
2374,95703,Standard,Applegate,Placer County,Area Code 530
2375,95709,Standard,Camino,El Dorado County,Area Code 530
2376,95712,PO Box,Chicago Park,Nevada County,Area Code 530
2377,95713,Standard,"Colfax, Eden Valley, Iowa Hill",Placer County,Area Code 530
2378,95714,PO Box,Dutch Flat,Placer County,
2379,95715,PO Box,"Emigrant Gap, Alta",Placer County,
2380,95717,PO Box,Gold Run,Placer County,
2381,95720,Standard,Kyburz,El Dorado County,Area Code 209Area Code 530
2382,95721,PO Box,"Echo Lake, Twin Bridges",El Dorado County,
2383,95722,Standard,Meadow Vista,Placer County,Area Code 530
2384,95724,PO Box,"Norden, Soda Springs",Placer County,
2385,95726,Standard,"Pollock Pines, Pacific House",El Dorado County,Area Code 530
2386,95728,PO Box,Soda Springs,Placer County,Area Code 530
2387,95735,Standard,Twin Bridges,El Dorado County,Area Code 530Area Code 209
2388,95736,PO Box,Weimar,Placer County,
2389,95741,PO Box,"Rancho Cordova, Rncho Cordova",Sacramento County,Area Code 916
2390,95742,Standard,"Rancho Cordova, Rncho Cordova",Sacramento County,Area Code 916
2391,95746,Standard,"Granite Bay, Roseville",Placer County,Area Code 916
2392,95747,Standard,Roseville,Placer County,Area Code 916
2393,95757,Standard,Elk Grove,Sacramento County,Area Code 916
2394,95758,Standard,Elk Grove,Sacramento County,Area Code 916
2395,95759,PO Box,Elk Grove,Sacramento County,Area Code 916
2396,95762,Standard,"El Dorado Hills, El Dorado Hls, Folsom",El Dorado County,Area Code 916
2397,95763,PO Box,Folsom,Sacramento County,Area Code 916
2398,95765,Standard,Rocklin,Placer County,Area Code 916
2399,95776,Standard,Woodland,Yolo County,Area Code 530
2400,95798,PO Box,"West Sacramento, W Sacramento",Yolo County,Area Code 916
2401,95799,PO Box,"West Sacramento, W Sacramento",Yolo County,Area Code 916
2402,95811,Standard,Sacramento,Sacramento County,Area Code 916
2403,95812,PO Box,Sacramento,Sacramento County,Area Code 916
2404,95813,PO Box,Sacramento,Sacramento County,Area Code 916
2405,95814,Standard,Sacramento,Sacramento County,Area Code 530Area Code 916
2406,95815,Standard,Sacramento,Sacramento County,Area Code 916
2407,95816,Standard,Sacramento,Sacramento County,Area Code 530Area Code 916
2408,95817,Standard,Sacramento,Sacramento County,Area Code 916
2409,95818,Standard,Sacramento,Sacramento County,Area Code 530Area Code 916
2410,95819,Standard,Sacramento,Sacramento County,Area Code 916
2411,95820,Standard,Sacramento,Sacramento County,Area Code 916
2412,95821,Standard,Sacramento,Sacramento County,Area Code 916
2413,95822,Standard,Sacramento,Sacramento County,Area Code 916
2414,95823,Standard,Sacramento,Sacramento County,Area Code 916
2415,95824,Standard,Sacramento,Sacramento County,Area Code 916
2416,95825,Standard,Sacramento,Sacramento County,Area Code 916
2417,95826,Standard,Sacramento,Sacramento County,Area Code 916
2418,95827,Standard,Sacramento,Sacramento County,Area Code 916
2419,95828,Standard,Sacramento,Sacramento County,Area Code 916
2420,95829,Standard,Sacramento,Sacramento County,Area Code 916
2421,95830,Standard,Sacramento,Sacramento County,Area Code 916
2422,95831,Standard,Sacramento,Sacramento County,Area Code 916
2423,95832,Standard,Sacramento,Sacramento County,Area Code 916
2424,95833,Standard,Sacramento,Sacramento County,Area Code 530Area Code 916
2425,95834,Standard,Sacramento,Sacramento County,Area Code 916
2426,95835,Standard,Sacramento,Sacramento County,Area Code 916
2427,95836,Standard,Sacramento,Sacramento County,Area Code 916
2428,95837,Standard,Sacramento,Sacramento County,Area Code 916
2429,95838,Standard,Sacramento,Sacramento County,Area Code 916
2430,95840,Unique,Sacramento,Sacramento County,Area Code 916
2431,95841,Standard,"Sacramento, Carmichael",Sacramento County,Area Code 916
2432,95842,Standard,Sacramento,Sacramento County,Area Code 916
2433,95843,Standard,"Antelope, Sacramento",Sacramento County,Area Code 916
2434,95851,PO Box,Sacramento,Sacramento County,Area Code 916
2435,95852,PO Box,Sacramento,Sacramento County,Area Code 916
2436,95853,PO Box,Sacramento,Sacramento County,Area Code 916
2437,95860,PO Box,Sacramento,Sacramento County,Area Code 916
2438,95864,Standard,Sacramento,Sacramento County,Area Code 916
2439,95865,PO Box,Sacramento,Sacramento County,Area Code 916
2440,95866,PO Box,Sacramento,Sacramento County,Area Code 916
2441,95867,Unique,Sacramento,Sacramento County,Area Code 916
2442,95887,Unique,Sacramento,Sacramento County,Area Code 916
2443,95894,Unique,Sacramento,Sacramento County,Area Code 916
2444,95899,PO Box,Sacramento,Sacramento County,Area Code 916
2445,95901,Standard,"Marysville, Linda, Loma Rica",Yuba County,Area Code 530
2446,95903,Standard,"Beale AFB, Marysville",Yuba County,Area Code 530
2447,95910,Standard,Alleghany,Sierra County,Area Code 530
2448,95912,Standard,"Arbuckle, College City",Colusa County,Area Code 530
2449,95913,PO Box,Artois,Glenn County,Area Code 530
2450,95914,Standard,Bangor,Butte County,Area Code 530
2451,95915,PO Box,"Belden, Oroville",Plumas County,Area Code 530
2452,95916,Standard,Berry Creek,Butte County,Area Code 530
2453,95917,Standard,Biggs,Butte County,Area Code 530
2454,95918,Standard,Browns Valley,Yuba County,Area Code 530
2455,95919,Standard,Brownsville,Yuba County,Area Code 530
2456,95920,Standard,Butte City,Glenn County,Area Code 530
2457,95922,Standard,Camptonville,Yuba County,Area Code 530
2458,95923,Standard,"Canyon Dam, Canyondam",Plumas County,Area Code 530
2459,95924,PO Box,Cedar Ridge,Nevada County,Area Code 530
